Series Code,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MS.MIL.XPND.ZS,Italy,ITA,3.290179358,3.17938658,3.003952645,3.010930157,3.030154634,2.834242853,3.076880027,3.279301812,3.405309659,3.555414674,3.734576042,3.53321887,3.64144216,3.61236604,3.579569416,3.388882543,3.183152469,3.093073155,3.210450732,3.040858401,3.005330178,3.001472681,2.820564055,2.745788412,2.522775412,2.401226998,2.719801986,2.783633036,2.809112036,2.705296997,2.681482194,2.641425592,NA
MS.MIL.XPND.ZS,Latvia,LVA,NA,NA,NA,NA,NA,NA,NA,NA,1.587443946,1.910750507,2.434502217,3.03160359,4.501216545,4.885641677,4.766153014,4.667519182,5.063881215,4.707140947,4.46388515,3.248510427,2.53951801,2.685525815,2.445618778,2.515308526,2.496080627,2.774270788,4.014184397,4.367255738,5.41539016,5.359465788,5.220947951,4.761256045,NA
MS.MIL.XPND.ZS,Lithuania,LTU,NA,NA,NA,2.195881944,1.354801534,1.373828009,1.571160717,2.291832467,3.339027623,2.458046719,3.392087641,3.887419312,3.833070971,3.49657246,3.602788833,3.477090479,3.450268274,3.229419539,3.051891872,2.477178622,2.1326565,1.907596609,2.17708236,2.202696746,2.585934586,3.307386939,4.437065637,5.283983063,5.931473259,5.914759656,4.932950192,4.802014191,NA
MS.MIL.XPND.ZS,Luxembourg,LUX,NA,NA,NA,NA,NA,1.476073371,1.465708867,1.489876218,1.530705335,1.444117898,1.438645875,1.775552863,1.409881975,1.398970685,1.386873326,1.345971315,1.321694899,1.341533372,0.9621721365,0.8696695256,1.051093249,0.9078060448,0.8583911591,0.8693075175,0.90329942,1.029512697,0.9463301937,1.199550169,1.183734466,1.283625405,1.161349253,1.256703496,NA
MS.MIL.XPND.ZS,Montenegro,MNE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.056277056,5.384615385,3.977947413,3.663303909,3.591411841,3.888888889,3.863328823,3.624484182,3.168851395,3.329627207,3.026489676,2.969930814,2.893185185,2.902363636,3.034588884,3.2,3.753375338,NA
MS.MIL.XPND.ZS,Netherlands,NLD,4.7334131,4.423100444,4.301907639,3.893461677,3.776701393,3.349649106,3.761878741,3.667631668,3.581626536,3.687023413,3.465758405,3.413720902,3.333892946,3.303130479,3.347117145,3.371608888,3.306956179,3.260844212,3.083132913,2.989627195,2.817688378,2.803513174,2.689031931,2.551987383,2.581312333,2.585941067,2.719617781,2.777004482,2.93209742,3.207034593,3.163041232,2.860111859,NA
MS.MIL.XPND.ZS,North Macedonia,MKD,NA,NA,NA,NA,NA,NA,NA,6.463482797,6.394743883,5.165702695,5.77937409,16.32785077,6.927033759,6.504771061,6.97635576,6.245656924,5.839000351,6.200786227,5.160700772,5.029966369,4.251408555,3.962196524,3.684403812,3.692219622,3.446260495,3.083039065,3.118622449,2.817843336,3.116026077,3.69078155,3.407952848,4.336363957,NA
MS.MIL.XPND.ZS,Norway,NOR,5.791094397,5.398005729,5.665731886,5.242861698,5.424124584,4.676816886,4.598551475,4.431365827,4.509706286,4.388405048,4.124329568,3.93946556,4.49696748,4.133657288,4.117296394,3.771647032,3.568850999,3.560742194,3.446638587,3.502428596,3.389928515,3.334122981,3.285796284,3.23385363,3.233316433,3.107934,3.208477506,3.463887276,3.59460408,3.684188013,3.520672349,3.621484468,NA
MS.MIL.XPND.ZS,Poland,POL,NA,NA,NA,NA,NA,4.098318884,3.858188417,4.382540839,4.56094251,4.501229037,4.245742055,4.228760178,4.18364493,4.165406432,4.296699272,4.35394938,4.321003496,4.666705925,3.966639723,3.99304403,3.995821009,4.059827202,4.178242757,4.142463322,4.472499397,5.128685905,4.715660908,4.591349666,4.934504011,4.718556286,4.728772042,4.626253845,NA
MS.MIL.XPND.ZS,Portugal,PRT,5.598572328,5.123853057,4.85744396,4.967931512,5.097578247,5.295077223,4.913685141,4.807364787,4.423502625,4.44147315,4.348339725,4.336287617,4.38979472,4.161167072,4.274949694,4.382513661,4.318024402,4.080246598,4.045390735,4.044313783,3.822305184,4.005085823,3.913561341,4.180374095,3.464582774,3.711416137,4.46959912,3.685163729,4.081174906,4.197441308,3.848584944,4.0322894,NA
MS.MIL.XPND.ZS,Romania,ROU,11.82121212,12.37647059,10.12252964,8.110782866,9.316706731,7.976855547,7.326813366,8.995796357,8.489932886,7.567288319,7.167813658,7.357443748,7.146278556,6.798395021,6.064433084,6.213360673,5.449719948,4.321161335,3.969181805,3.519623201,3.277925006,3.532209694,3.507692826,3.781922524,3.991977698,4.246465045,4.48781711,5.589394347,5.646035846,5.512255573,5.26257647,5.277008121,NA
MS.MIL.XPND.ZS,Slovak Republic,SVK,NA,NA,NA,NA,NA,6.495136492,5.56189827,4.678922186,3.799950968,3.276440554,3.130835528,4.061657033,3.902740937,4.551316497,4.349266176,4.226665337,4.106032907,4.063710344,3.944827586,3.414959772,2.964317758,2.580253983,2.622539305,2.304045512,2.276787066,2.435082722,2.623282719,2.676245814,2.944489139,4.01836969,4.108053707,3.437320653,NA
MS.MIL.XPND.ZS,Slovenia,SVN,NA,NA,NA,NA,NA,3.020806717,3.495686422,3.086492514,2.942494715,2.573703704,2.305623745,2.669740802,2.945367958,2.983275377,3.073280546,3.061153476,3.386574559,3.324006568,3.313630245,3.213343764,3.194996164,2.54077572,2.364052982,1.73717797,1.915229435,1.909516513,2.175500803,2.22766934,2.247182287,2.442132392,2.069309399,2.454157445,NA
MS.MIL.XPND.ZS,Spain,ESP,5.328566116,4.765014436,4.442029583,4.116269971,4.240081612,4.220688365,4.101636779,4.031498293,4.075485704,4.385787741,4.401431994,4.242247673,3.768306705,3.706938945,3.684463735,3.604830506,3.564408401,3.472430389,3.300032839,2.938210395,3.013786539,2.885682803,2.925944013,2.777016523,2.780629228,2.895427117,2.68068233,2.987239617,3.010268525,2.933186357,2.607978663,2.704390372,NA
MS.MIL.XPND.ZS,Turkiye,TUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.229622736,8.121884471,9.185054507,8.501702986,7.728701143,7.430465274,6.877093466,6.577475985,6.381160439,6.523107426,6.334189004,6.121146482,5.884008436,5.669433348,5.661599236,5.461075788,5.88444833,6.14796143,7.302883353,7.541474114,7.155267247,6.271186285,NA
MS.MIL.XPND.ZS,United Kingdom,GBR,10.47063821,10.55677006,9.378521678,8.71781193,8.284474697,7.571204476,7.626745157,7.349958807,7.255069155,7.125875721,6.961084294,6.919455375,6.915585562,6.864523315,6.562771829,6.313466487,6.183276325,6.163136273,6.088672883,5.950584628,5.759944594,5.738434006,5.539993915,5.464937242,5.305438675,5.076499554,5.008488563,4.957514517,4.996258501,5.169380747,4.562917136,4.657450509,NA
MS.MIL.XPND.ZS,United States,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.559757575,10.27499874,11.29687882,11.96848222,12.05394767,11.99645909,11.78710653,11.9720039,11.77780117,12.33445535,12.44421271,12.02205332,11.25081454,10.41659699,9.889083605,9.618094658,9.362802835,9.3458366,9.595255579,8.197624113,8.317828758,NA
MS.MIL.XPND.ZS,Russian Federation,RUS,NA,NA,NA,NA,NA,NA,NA,NA,6.905517008,8.988603611,10.81963141,11.30253433,11.13848973,11.29225698,11.17038114,11.3363179,11.20653671,9.78733898,9.863158416,10.1920224,10.12229563,10.32146357,10.84155587,11.12217833,11.77219803,13.81071122,14.828395,12.19918217,11.40316049,11.39899916,10.58606762,10.79469726,NA
MS.MIL.XPND.ZS,Ukraine,UKR,NA,NA,NA,NA,NA,4.930841924,5.937952098,6.84748687,5.67867036,7.353388202,6.073615698,5.341215265,5.439233083,5.672035506,4.907030776,5.455446625,5.354577553,5.641968857,4.855440774,4.076075087,3.870510386,3.355865696,3.294345799,3.282699688,5.014125828,7.553243864,7.779052699,6.938385837,7.64802682,8.513455276,8.288440829,7.827446804,NA
