Series Code,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MS.MIL.XPND.GD.ZS,Iceland,ISL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS.MIL.XPND.GD.ZS,Italy,ITA,1.880798413,1.858852684,1.751976983,1.786767973,1.71374276,1.467843143,1.588492279,1.626692799,1.644508879,1.683299798,1.741059504,1.679364738,1.706187246,1.708995537,1.68267327,1.605170416,1.525482905,1.447052519,1.535674984,1.554210702,1.500494576,1.475956597,1.426924977,1.399020419,1.282969654,1.208228326,1.334835252,1.357370559,1.359290935,1.312761705,1.534412424,1.522730137,NA
MS.MIL.XPND.GD.ZS,Latvia,LVA,NA,NA,NA,0.7352954064,0.838757227,0.8056568444,0.6391446833,0.5821149087,0.5878479865,0.7509408284,0.8817150116,1.041538764,1.542208276,1.610024275,1.595658217,1.610621927,1.715018634,1.552872371,1.627090883,1.38226776,1.087515236,1.037159713,0.9026989838,0.9317867128,0.9439352836,1.037829348,1.450693304,1.594821503,2.062277415,2.028669033,2.255015086,2.280418981,NA
MS.MIL.XPND.GD.ZS,Lithuania,LTU,NA,NA,NA,0.8122606433,0.4933775985,0.4543728738,0.5039800092,0.7471111529,1.229254336,0.9701024918,1.21669999,1.361943638,1.271288746,1.121228498,1.195943282,1.162211588,1.165184813,1.113607567,1.131608552,1.082803783,0.8786590921,0.7907008481,0.7652658101,0.7629074821,0.8795962577,1.137748174,1.477505872,1.712070468,1.967419142,2.007150696,2.127631354,2.021726173,NA
MS.MIL.XPND.GD.ZS,Luxembourg,LUX,0.7883446809,0.8113851631,0.827198401,0.7071544338,0.7415614355,0.5953268782,0.5870360474,0.6138900401,0.6399205041,0.5714019259,0.5441185431,0.6802870798,0.5868255356,0.6071799417,0.6112354709,0.5896432033,0.5264348454,0.5585019426,0.3926961634,0.3802921488,0.5057263776,0.4156523008,0.3868906975,0.3989835441,0.4086060169,0.4515850092,0.4090976558,0.5249034519,0.5297970256,0.5744917472,0.6273383626,0.6268807821,NA
MS.MIL.XPND.GD.ZS,Montenegro,MNE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.694363326,2.290712107,1.744059784,1.872181859,1.843759425,1.814347747,1.74896716,1.656463334,1.452262722,1.472271497,1.40371624,1.411279816,1.362776386,1.369294764,1.33441274,1.66909915,1.742945623,NA
MS.MIL.XPND.GD.ZS,Netherlands,NLD,2.369019885,2.248531531,2.213002596,2.027829408,1.913060975,1.794240505,1.756607736,1.659273183,1.580648061,1.589825426,1.434004341,1.437906869,1.426556012,1.443809598,1.42682784,1.396485279,1.393389057,1.354716798,1.305319238,1.397633322,1.325433715,1.288365349,1.235408888,1.166151624,1.159687891,1.132711505,1.163626918,1.156803668,1.216674182,1.322929921,1.480651739,1.422450703,NA
MS.MIL.XPND.GD.ZS,North Macedonia,MKD,NA,NA,NA,NA,NA,NA,2.813676742,2.128246944,2.098239761,1.713820606,1.85082146,6.100395628,2.645597519,2.341701159,2.380104071,2.029263306,1.836537687,1.950069695,1.742340869,1.688164562,1.382154611,1.2621871,1.225319662,1.169437189,1.0929608,0.9934276918,0.9701159779,0.8950414065,0.9431087327,1.164594116,1.248121657,1.541042517,NA
MS.MIL.XPND.GD.ZS,Norway,NOR,2.886226894,2.747487196,2.964700275,2.687349845,2.733137082,2.30749104,2.163074974,2.016079571,2.156737667,2.039105571,1.705831873,1.70454146,2.080591931,1.974854487,1.848785144,1.581467618,1.450243805,1.465381485,1.378241641,1.604295031,1.515698179,1.45143577,1.402134172,1.413996504,1.472038777,1.507279581,1.626681488,1.719497163,1.726244408,1.85843416,2.00603495,1.841355249,NA
MS.MIL.XPND.GD.ZS,Poland,POL,2.612485744,2.251650225,2.230999443,2.469187315,2.273232103,1.955507055,1.967919401,2.031306697,2.019081314,1.901135771,1.830336585,1.905638001,1.900638649,1.908042037,1.873241006,1.92612987,1.920044792,2.002032828,1.752139711,1.797416228,1.831918299,1.789808791,1.802713001,1.780322628,1.907046453,2.137407113,1.938462678,1.894930987,2.04957213,1.971041327,2.298315694,2.120414382,NA
